,CBScode,Perioden,"  HIC: Theft / burglary dwelling, complete","  HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony,Municipality,Province,Population,Population_density(p/km)
279,GM0815,2016JJ00,21.0,7.0,9.0,0.0,0.0,2.0,3.0,3.0,16.0,15.0,3.0,13.0,32.0,2.0,0.0,6.0,0.0,42.0,1.0,1.0,4.0,Mill en Sint Hubert,North Brabant,10843.0,209.0
280,GM0820,2016JJ00,39.0,18.0,39.0,1.0,2.0,1.0,19.0,4.0,82.0,113.0,11.0,26.0,23.0,9.0,0.0,20.0,0.0,85.0,2.0,4.0,7.0,"Nuenen, Gerwen en Nederwetten",North Brabant,22596.0,669.0
281,GM0823,2016JJ00,35.0,9.0,35.0,0.0,0.0,3.0,14.0,4.0,81.0,52.0,6.0,22.0,11.0,5.0,2.0,19.0,2.0,71.0,2.0,3.0,6.0,Oirschot,North Brabant,17989.0,175.0
282,GM0824,2016JJ00,65.0,30.0,99.0,1.0,2.0,3.0,31.0,2.0,117.0,93.0,13.0,33.0,31.0,48.0,2.0,59.0,9.0,118.0,9.0,14.0,6.0,Oisterwijk,North Brabant,25835.0,403.0
283,GM0826,2016JJ00,77.0,48.0,269.0,7.0,7.0,6.0,126.0,16.0,283.0,373.0,48.0,63.0,87.0,55.0,6.0,133.0,10.0,379.0,10.0,43.0,25.0,Oosterhout,North Brabant,53733.0,756.0
284,GM0828,2016JJ00,193.0,76.0,414.0,4.0,6.0,26.0,171.0,53.0,736.0,360.0,94.0,115.0,95.0,90.0,4.0,218.0,25.0,638.0,28.0,42.0,30.0,Oss,North Brabant,85039.0,555.0
285,GM0840,2016JJ00,35.0,17.0,78.0,0.0,1.0,3.0,40.0,5.0,29.0,55.0,12.0,26.0,37.0,18.0,1.0,36.0,2.0,90.0,8.0,1.0,9.0,Rucphen,North Brabant,22213.0,347.0
286,GM0844,2016JJ00,34.0,11.0,78.0,0.0,1.0,0.0,22.0,2.0,114.0,75.0,14.0,33.0,18.0,13.0,1.0,52.0,4.0,132.0,3.0,83.0,13.0,Schijndel,North Brabant,23360.0,554.0
287,GM0845,2016JJ00,42.0,14.0,56.0,0.0,1.0,1.0,18.0,4.0,51.0,87.0,17.0,17.0,36.0,3.0,1.0,38.0,0.0,73.0,4.0,6.0,11.0,Sint-Michielsgestel,North Brabant,28186.0,481.0
288,GM0846,2016JJ00,21.0,11.0,37.0,0.0,0.0,2.0,16.0,0.0,51.0,49.0,8.0,17.0,23.0,9.0,0.0,20.0,1.0,78.0,2.0,8.0,3.0,Sint-Oedenrode,North Brabant,17944.0,278.0
